City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
79,Salinopolis,BR,79.95,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
82,Sao Gabriel Da Cachoeira,BR,72.54,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
87,Siddharthanagar,NP,77.63,overcast clouds,27.5,83.45,Hotel Joshi
91,Puerto Escondido,MX,78.4,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
102,Bambanglipuro,ID,81.88,broken clouds,-7.95,110.2833,Puri Brata
103,Coahuayana,MX,77.32,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
104,Fairhope,US,77.7,clear sky,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
106,Bengkulu,ID,84.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
108,Salalah,OM,77.68,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
120,Vila Franca Do Campo,PT,72.01,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
121,Poum,NC,71.46,scattered clouds,-20.2333,164.0167,Gîte kajeon
122,Popondetta,PG,74.93,overcast clouds,-8.7537,148.2534,Timos Transit House
123,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
127,Gizo,SB,82.94,light rain,-8.103,156.8419,Imagination Island
128,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
131,Cabo San Lucas,MX,82.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
133,Mancio Lima,BR,73.04,scattered clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
137,Merrydale,US,74.1,overcast clouds,30.5013,-91.1084,Royal Inn & Suites
138,Jacareacanga,BR,71.76,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
140,Bambous Virieux,MU,75.45,broken clouds,-20.3428,57.7575,Casa Tia Villa
141,San Patricio,US,84.85,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
144,Pitimbu,BR,72.19,few clouds,-7.4706,-34.8086,Reserva do Abiaí
146,Charters Towers,AU,79.11,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
147,Praia Da Vitoria,PT,73.76,scattered clouds,38.7333,-27.0667,Hotel Branco I
150,Milledgeville,US,78.94,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
151,Griffith,US,75.06,broken clouds,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
152,Cittanova,IT,80.01,clear sky,38.3552,16.0798,Casa di Meco
